Record ID,Store Name,Store Type,Street Number,Street Name,Additional Address,City,State,Zip Code,Zip4,County,Latitude,Longitude,Authorization Date,End Date
573456,COUNTRY MOON,Fruits/Veg Specialty,1586,KUHIO HWY,,KAPAA,HI,96746,,KAUAI,0.0,0.0,1999-03-02,2004-04-25
261624,FILIPINO OHANA GEN MERCHANDISE,Small Grocery Store,3-4221,KUHIO HWY,,LIHUE,HI,96766,,KAUAI,0.0,0.0,1997-06-23,2004-11-30
469226,TERESA'S VARIETY STORE,Convenience Store,8296,KEKAHA RD,,KEKAHA,HI,96752,,KAUAI,0.0,0.0,1995-08-01,2004-04-21
532228,"VIM N' VIGOR FOODS, INC.",Small Grocery Store,3122,"KUHIO HWY, A-9",,LIHUE,HI,96766,,KAUAI,0.0,0.0,1996-03-26,2004-03-03
481714,DOWN TO EARTH LAHAINA,Unknown,193,LAHAINALUNA RD,,LAHAINA,HI,96761,,MAUI,0.0,0.0,2002-03-18,2004-08-07
264254,"NEIGHBORHOOD STORE ""N"" LUNCH CTR",Convenience Store,,HC 1 Box 510,,Kaunakakai,HI,96748,8610,MAUI,0.0,0.0,1996-03-14,2004-02-18
570563,OHASHI GENERAL STORE,Convenience Store,410,W Kuiaha Rd,,Haiku,HI,96708,5109,MAUI,0.0,0.0,1985-08-07,2004-05-25
626138,PAIA GENERAL STORE INC,Convenience Store,149,Hana Hwy,,Paia,HI,96779,9745,MAUI,0.0,0.0,1982-05-26,2004-09-28
640865,SIMPLY GOURMET INC,Meat/Poultry Specialty,800,Eha St Ste 1,,Wailuku,HI,96793,1485,MAUI,0.0,0.0,2003-06-09,2004-12-21
364863,VILLAGE GENERAL STORE,Convenience Store,938,S KIHEI RD,,KIHEI,HI,96753,,MAUI,0.0,0.0,1997-07-30,2004-06-09
567817,5-SPICE  ,Meat/Poultry Specialty,2100,KANOELEHUA AVENUE, ,HILO,HI,96720, ,HAWAII,19.69021,-155.066,1986-04-29,2008-01-31
840949,5-Spice  ,Small Grocery Store,2100,Kanoelehua Ave, ,Hilo,HI,96720,6500,HAWAII,19.69021,-155.066,2008-02-11,2013-12-27
840949,5-Spice  ,Small Grocery Store,2100,Kanoelehua Ave, ,Hilo,HI,96720,6500,HAWAII,19.69021,-155.066,2013-12-30,2021-03-30
394669,7-Eleven 54138,Convenience Store,1321,Kilauea Ave, ,Hilo,HI,96720,4207,HAWAII,19.70982,-155.0762,1989-12-22,
242227,7-Eleven 54136,Convenience Store,83,Kaumana Dr, ,Hilo,HI,96720,2052,HAWAII,19.71519,-155.1044,1989-12-22,
370914,7-Eleven 54222,Convenience Store,895,Kinoole St, ,Hilo,HI,96720,3830,HAWAII,19.71544,-155.0828,1989-12-22,
647035,7-Eleven 54209,Convenience Store,15-2875,GOVERNMENT ROAD, ,PAHOA,HI,96778, ,HAWAII,19.55761,-154.8851,1989-12-22,
606207,7-Eleven 54258,Convenience Store,74,West Kawili St, ,Hilo,HI,96720, ,HAWAII,19.70259,-155.0749,2000-10-23,
838911,7-Eleven 54277,Convenience Store,17-351,Volcano Rd, ,Kurtistown,HI,96760,9997,HAWAII,19.59307,-155.0579,2007-12-18,
1020796,7-Eleven 54284,Convenience Store,16-499,Old Volcano Rd, ,Keaau,HI,96749,8138,HAWAII,19.62376,-155.0385,2011-08-26,
628457,A Arakaki Store Inc  ,Small Grocery Store,53-4142,Akoni Pule Hwy, ,Kapaau,HI,96755,70,HAWAII,20.22714,-155.78,1971-12-13,2023-11-24
628457,A Arakaki Store Inc  ,Small Grocery Store,53-4142,Akoni Pule Hwy, ,Kapaau,HI,96755,70,HAWAII,20.22714,-155.78,2024-01-12,
1216989,ABC Store 71,Convenience Store,75-5660,Palani Rd, ,Kailua Kona,HI,96740,3612,HAWAII,19.64136,-155.9966,2015-10-27,
1362858,ABC Store 63,Convenience Store,75-5703,C Alii Drive, ,Kona,HI,96740, ,HAWAII,19.63983,-155.9945,2019-05-07,
1404284,ABC Store 75,Convenience Store,75-5817,Alii Drive,Suite F15,Kailua-Kona,HI,96740, ,HAWAII,19.63403,-155.9897,2020-04-27,
1500090,ABC Store 62,Convenience Store,75-5744,Alii Dr, ,Kailua Kona,HI,96740,1784,HAWAII,19.63782,-155.9935,2022-04-13,
649509,Abundant Life Natural Foods  ,Supermarket,292,Kamehameha Ave, ,Hilo,HI,96720,2837,HAWAII,19.72408,-155.0853,1978-01-19,
1030678,Acr Dollar Plus  ,Convenience Store,1257,Kilauea Ave, ,Hilo,HI,96720,4205,HAWAII,19.71061,-155.0765,2012-06-25,2015-10-19
1306499,AIM Captain Cook 1015,Convenience Store,81-6251,Mamalahoa Hwy, ,Captain Cook,HI,96704,8111,HAWAII,19.49283,-155.9167,2017-11-21,
1041465,AIM Henry St 1115,Convenience Store,75-934,Henry St, ,Kailua Kona,HI,96740, ,HAWAII,19.64155,-155.9916,2012-01-18,
991288,AIM Honalo Shell 1303,Convenience Store,79-7257,Mamalahoa Hwy, ,Kealakekua,HI,96750,7912,HAWAII,19.54107,-155.9288,2011-02-15,
991287,AIM Kamuela Shell 1301,Convenience Store,64-5196,Kinohou St, ,Kamuela,HI,96743,8409,HAWAII,20.02472,-155.6598,2011-02-15,
541894,AIM Kona-Mauka Shell 1314,Convenience Store,75-5675,Kuakini Hwy,,Kailua Kona,HI,96740,1650,HAWAII,19.64112,-155.9938,1993-02-05,
991286,AIM Waiakea Shell 1311,Convenience Store,2200,Kinoole St, ,Hilo,HI,96720, ,HAWAII,19.68429,-155.0691,2011-02-15,
826803,Aina Store Gift Shop  ,Meat/Poultry Specialty,45-3610,Mamane St,Unit 2,Honokaa,HI,96727,6942,HAWAII,20.07934,-155.4688,2007-08-08,2009-02-02
413063,Ainaola Mart  ,Convenience Store,1142A,Ainaola Dr,,Hilo,HI,96720,3650,HAWAII,19.66571,-155.1046,1995-02-27,
1481517,Alae Postharvest Facility  ,Fruits/Veg Specialty,895,Kauhiula Rd,,Hilo,HI,96720,2164,HAWAII,19.75324,-155.0953,2022-02-02,
1232734,"All Kine Stuffs,llc  ",Combination Grocery/Other,355,Kalanianaole Ave, ,Hilo,HI,96720,4757,HAWAII,19.72522,-155.0593,2016-02-23,2017-11-29
523547,ALL THINGS STORE  ,Convenience Store,1976,Kaumana Dr, ,Hilo,HI,96720,1440,HAWAII,19.68548,-155.1417,1997-05-15,2006-03-25
920177,Aloha Aina Natural Beef  ,Meat/Poultry Specialty,95-5520,Mamalahoa Highway, ,Naalehu,HI,96772, ,HAWAII,19.06253,-155.5789,2009-10-22,
971573,Aloha Island Mart Keauhou 1117,Convenience Store,78-6831,Alii Dr,Ste 1001,Kailua Kona,HI,96740,4407,HAWAII,19.57226,-155.962,2010-10-01,
304924,"ANUENUE NATURAL FOODS, ETC  ",Small Grocery Store,525,LOTUS BLOSSOM LANE,8,OCEAN VIEW,HI,96737, ,HAWAII,19.08678,-155.7757,2003-04-30,2009-02-04
