"Record.ID","Store.Name","Store.Type","Street.Number","Street.Name","Additional.Address","City","State","Zip.Code","Zip4","County","Latitude","Longitude","Authorization.Date","End.Date"
348638,"GEORGE'S MEAT MKT, INC  ","Meat/Poultry Specialty","28","Hoku St"," ","Hilo","HI",96720,"3817","HAWAII",19.71692,-155.0798,"03/15/1982","02/28/2006"
716960,"GINGER PATCH MARKET & DELI  ","Convenience Store","26","Kekela St"," ","Hilo","HI",96720,"5231","HAWAII",19.69535,-155.0668,"06/27/2000","12/05/2010"
909016,"Give & Take Market  ","Combination Grocery/Other","18","Pohaku St","Ste 5","Hilo","HI",96720,"9672","HAWAII",19.70305,-155.0635,"11/02/2009","11/22/2010"
909016,"Give & Take Market  ","Combination Grocery/Other","18","Pohaku St","Ste 5","Hilo","HI",96720,"9672","HAWAII",19.70305,-155.0635,"12/27/2012","01/27/2015"
493890,"GLO IVY'S DOLLAR PLUS STORE  ","Convenience Store","75-5660","Kopiko St","Kopiko Plaza","Kailua-Kona","HI",96740," ","HAWAII",19.64289,-155.9946,"06/21/2004","03/12/2014"
311371,"GLORIA'S FILIPINO STORE, INC.  ","Small Grocery Store"," ","HIGHWAY 11"," ","NAALEHU","HI",96772," ","HAWAII",0,0,"05/10/1995","02/28/1999"
411386,"GOLD COAST PRODUCE STAND  ","Convenience Store","84-5227","Mamalahoa Hwy"," ","Captain Cook","HI",96704,"8407","HAWAII",19.44137,-155.8799,"07/06/1988","06/02/2013"
653651,"H  KIMURA, INCORPORATED  ","Convenience Store","79-7406","MAMALAHOA HWY"," ","KAINALIU","HI",96750,"0535","HAWAII",0,0,"12/07/1971","10/09/1994"
353697,"H ANDO STORE  ","Convenience Store","2179","Kinoole St"," ","Hilo","HI",96720,"5327","HAWAII",0,0,"10/13/1983","07/02/1997"
519089,"H NAITO STORE INC  ","Convenience Store"," ","AKONI PULE HWY"," ","KAPAAU","HI",96755,"0188","HAWAII",0,0,"01/06/1972","04/21/2004"
641714,"H Y STORE  ","Medium Grocery Store","83-5487","MAMALAHOA HWY"," ","SOUTH KONA","HI",96704," ","HAWAII",0,0,"04/26/2001","02/08/2004"
653491,"H Y STORE  ","Convenience Store","83-5487","MAMALAHOA HWY"," ","CAPTAIN COOK","HI",96704," ","HAWAII",0,0,"02/23/2004","03/08/2005"
